case_id,attack,defense,epoch,round,loss,hr5,hr10,hr20,er5,er10,er20
01_noattack_nodefense,NoAttack,NoDefense,144,529,0.11207,37.43372,55.77943,74.97349,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,145,533,0.11116,36.9035,54.40085,74.44327,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,146,537,0.11026,37.43372,55.991519999999994,75.60976000000001,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,147,540,0.10939,37.8579,53.976670000000006,75.07953,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,148,544,0.10853,37.8579,55.673379999999995,74.01909,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,149,548,0.10767,37.11559,54.40085,74.65536,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,150,551,0.10683,37.53977,56.62778000000001,74.86744,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,151,555,0.10601,36.37328,55.885470000000005,74.54931,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,152,559,0.10519,37.11559,55.35525,75.50371,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,153,562,0.10439,36.58537,55.885470000000005,74.33722,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,154,566,0.1036,38.17603,56.41569,74.01909,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,155,570,0.10283,36.26723,55.46129,74.97349,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,156,573,0.10206,37.645810000000004,54.931070000000005,74.86744,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,157,577,0.10129,37.32768,54.294799999999995,74.86744,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,158,581,0.10055,36.16119,55.77943,75.29162000000001,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,159,585,0.09981,36.37328,54.718979999999995,74.54931,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,160,588,0.09909,36.16119,55.56734,74.33722,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,161,592,0.09837,37.43372,54.61294,74.65536,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,162,596,0.09766,38.28208,55.673379999999995,73.807,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,163,599,0.09698,37.645810000000004,54.08271,74.7614,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,164,603,0.09629,37.11559,55.35525,74.65536,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,165,607,0.0956,35.63097,55.14316,74.23118,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,166,610,0.09495,36.79745,54.40085,74.7614,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,167,614,0.09428,36.9035,56.73383,74.86744,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,168,618,0.09364,36.9035,54.40085,74.01909,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,169,621,0.093,36.16119,56.30965,74.65536,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,170,625,0.09237,37.00954,54.82503,74.54931,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,171,629,0.09174,37.53977,54.718979999999995,74.23118,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,172,632,0.09113,38.06999,54.61294,74.7614,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,173,636,0.09053,37.32768,54.61294,74.01909,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,174,640,0.08992,36.79745,55.885470000000005,74.12513,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,175,643,0.08934,36.05514,55.991519999999994,74.23118,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,176,647,0.08876,37.8579,54.718979999999995,74.86744,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,177,651,0.08818,35.52492,54.40085,74.86744,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,178,654,0.08761,35.41888,54.40085,74.54931,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,179,658,0.08705,36.691410000000005,54.61294,75.07953,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,180,662,0.08649,36.05514,55.037119999999994,74.33722,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,181,666,0.08595,36.47932,54.294799999999995,73.17072999999999,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,182,669,0.0854,37.00954,56.52174,74.54931,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,183,673,0.08488,35.10074,55.46129,74.01909,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,184,677,0.08435,37.11559,54.718979999999995,74.97349,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,185,680,0.08383,38.06999,55.46129,75.39767,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,186,684,0.08332,36.05514,53.976670000000006,74.01909,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,187,688,0.08281,36.05514,53.55249,74.65536,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,188,691,0.08231,36.37328,54.18876,74.44327,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,189,695,0.08181,36.47932,54.931070000000005,73.70094999999999,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,190,699,0.08132,37.00954,55.35525,73.17072999999999,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,191,702,0.08084,35.31283,55.885470000000005,73.91304,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,192,706,0.08036,35.41888,55.14316,73.27678,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,193,710,0.07989,36.9035,53.976670000000006,74.33722,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,194,713,0.07942,36.58537,54.718979999999995,74.97349,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,195,717,0.07896,36.58537,54.294799999999995,74.01909,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,196,721,0.0785,37.75186,55.2492,73.807,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,197,724,0.07805,37.22163,53.3404,73.91304,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,198,728,0.0776,37.00954,54.294799999999995,74.44327,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,199,732,0.07717,37.43372,54.08271,74.97349,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,200,736,0.07673,35.9491,53.44645,73.91304,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,201,739,0.0763,36.47932,54.718979999999995,72.8526,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,202,743,0.07587,36.9035,55.885470000000005,73.38282000000001,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,203,747,0.07545,37.43372,54.61294,74.44327,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,204,750,0.07503,38.28208,54.61294,74.01909,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,205,754,0.07462,36.05514,54.82503,75.7158,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,206,758,0.07421,37.645810000000004,54.294799999999995,74.12513,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,207,761,0.07381,37.22163,54.61294,73.59491,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,208,765,0.07341,35.9491,54.931070000000005,74.01909,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,209,769,0.073,35.84305,54.61294,73.807,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,210,772,0.07262,37.00954,53.976670000000006,74.65536,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,211,776,0.07223,36.79745,53.976670000000006,74.54931,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,212,780,0.07185,36.58537,53.3404,73.27678,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,213,783,0.07147,36.37328,53.764579999999995,73.48886999999999,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,214,787,0.07109,36.79745,54.08271,74.33722,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,215,791,0.07072,36.26723,54.50689,73.48886999999999,0.0,0.1139,0.22779
01_noattack_nodefense,NoAttack,NoDefense,216,794,0.07035,36.58537,54.08271,74.54931,0.0,0.1139,0.22779
01_noattack_nodefense,NoAttack,NoDefense,217,798,0.06999,36.58537,54.82503,73.27678,0.0,0.1139,0.22779
01_noattack_nodefense,NoAttack,NoDefense,218,802,0.06963,37.00954,53.44645,74.01909,0.0,0.1139,0.22779
01_noattack_nodefense,NoAttack,NoDefense,219,806,0.06928,36.691410000000005,53.3404,74.33722,0.0,0.1139,0.22779
01_noattack_nodefense,NoAttack,NoDefense,220,809,0.06892,35.63097,54.08271,73.807,0.0,0.1139,0.22779
